SubcorticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,population_size,NAVR,NAVR_corrected,NAVR_corrected_II,correction,population_size_livingpark,d_icv_thresholded
ASD_meta-analysis_casevsCN,Laccumb,-0.05,,,,1071,984,,0.291,2055,0.2720665413607328,0.012003260135248078,0.0871220338602319,0.0840662703418397,566,-0.05
ASD_meta-analysis_casevsCN,Lamyg,-0.06,,,,1068,980,,0.282,2048,0.2272955394058503,0.010045138577958178,0.0862104935785992,0.0840662703418397,566,-0.06
ASD_meta-analysis_casevsCN,Lcaud,-0.05,,,,1070,984,,0.46,2054,0.1032435479466564,0.004556094219047757,0.0845131235838454,0.0840662703418397,566,-0.05
ASD_meta-analysis_casevsCN,Lhippo,-0.03,,,,1069,981,,0.667,2050,0.156646722485764,0.006919494647490358,0.0850914368167819,0.0840662703418397,566,-0.03
ASD_meta-analysis_casevsCN,Lpal,-0.03,,,,1071,983,,0.556,2054,0.2091429805492201,0.009224901411746497,0.0858851557252098,0.0840662703418397,566,-0.03
ASD_meta-analysis_casevsCN,Lput,-0.03,,,,1071,985,,0.039,2056,0.1359332660967781,0.006001600311557178,0.084839397343257,0.0840662703418397,566,-0.03
ASD_meta-analysis_casevsCN,Lthal,-0.09,,,,1070,982,,0.043,2052,0.1594777173659569,0.007034260562835852,0.0851285929109501,0.0840662703418397,566,-0.09
ASD_meta-analysis_casevsCN,LLatVent,0.11,,,,1071,985,,0.031,2056,0.011147108504968,0.0004919171960733413,0.0840714931340892,0.0840662703418397,566,0.11
ASD_meta-analysis_casevsCN,Raccumb,-0.05,,,,1071,984,,0.291,2055,0.2297485905574407,0.010136241245890968,0.0862564347930189,0.0840662703418397,566,-0.05
ASD_meta-analysis_casevsCN,Ramyg,-0.06,,,,1068,980,,0.282,2048,0.2007475491744533,0.00887187208298974,0.0857434573836147,0.0840662703418397,566,-0.06
ASD_meta-analysis_casevsCN,Rcaud,-0.05,,,,1070,984,,0.46,2054,0.1461734363689446,0.006450572085753874,0.0849596317984902,0.0840662703418397,566,-0.05
ASD_meta-analysis_casevsCN,Rhippo,-0.03,,,,1069,981,,0.667,2050,0.1266388607779865,0.005593969062437231,0.0847376913337475,0.0840662703418397,566,-0.03
ASD_meta-analysis_casevsCN,Rpal,-0.03,,,,1071,983,,0.556,2054,0.2326402534573403,0.010261321689649622,0.0863111917423851,0.0840662703418397,566,-0.03
ASD_meta-analysis_casevsCN,Rput,-0.03,,,,1071,985,,0.039,2056,0.1718404256047445,0.007586940132177085,0.0852984422689682,0.0840662703418397,566,-0.03
ASD_meta-analysis_casevsCN,Rthal,-0.09,,,,1070,982,,0.043,2052,0.1615252968034185,0.0071245754201344335,0.0851558712801418,0.0840662703418397,566,-0.09
ASD_meta-analysis_casevsCN,RLatVent,0.11,,,,1071,985,,0.031,2056,0.0126176739238002,0.0005568126276690734,0.0840729619900215,0.0840662703418397,566,0.11
