Structure,Cohen_d,n_patients,n_controls,population_size,hemisphere,NAVR,NAVR_II,NAVR_corrected,NAVR_corrected_II,correction,population_size_livingpark,Cohen_d_thresholded
L_bankssts,-0.07,1571,1651,2582,lh,0.1679100593637136,1.013998909287148,0.006608891041517157,0.0839191468362422,0.0827605888602368,584,-0.07
L_caudalanteriorcingulate,0.03,1571,1651,2582,lh,0.2181119375336781,1.0235100474810666,0.008584822347610863,0.0847062942339019,0.0827605888602368,584,0.03
L_caudalmiddlefrontal,0.06,1571,1651,2582,lh,0.1753441914871878,1.0152564136651865,0.006901496317094239,0.0840232186390629,0.0827605888602368,584,0.06
L_cuneus,-0.06,1571,1651,2582,lh,0.2145175843375185,1.0227501131703698,0.008443349652477736,0.0846434016228536,0.0827605888602368,584,-0.06
L_entorhinal,-0.24,1571,1651,2582,lh,0.347724072261647,1.058731330617085,0.013686318227736215,0.087621228366652,0.0827605888602368,584,-0.24
L_fusiform,-0.19,1571,1651,2582,lh,0.2199788565103603,1.0239095161739662,0.008658303734890389,0.0847393544981575,0.0827605888602368,584,-0.19
L_inferiorparietal,-0.05,1571,1651,2582,lh,0.1388691826870925,1.0095962806489438,0.005465850592164529,0.0835547826976114,0.0827605888602368,584,-0.05
L_inferiortemporal,-0.16,1571,1651,2582,lh,0.1931727905328623,1.01848697929932,0.007603224783883303,0.0842905821532955,0.0827605888602368,584,-0.16
L_isthmuscingulate,0.05,1571,1651,2582,lh,0.2212486498239776,1.024183072037872,0.008708282429953357,0.0847619941425406,0.0827605888602368,584,0.05
L_lateraloccipital,-0.02,1571,1651,2582,lh,0.1493056868036902,1.0110846592209386,0.005876628355106855,0.0836779617846767,0.0827605888602368,584,-0.02
L_lateralorbitofrontal,0.0,1571,1651,2582,lh,0.2368625051545744,1.0276691327212766,0.009322839229045444,0.0850505025775016,0.0827605888602368,584,
L_lingual,-0.02,1571,1651,2582,lh,0.2498141822812938,1.0307313547519894,0.009832613469253331,0.0853039338759842,0.0827605888602368,584,-0.02
L_medialorbitofrontal,0.08,1571,1651,2582,lh,0.2972194770645651,1.043235073004418,0.0116984720676057,0.0863387489614977,0.0827605888602368,584,0.08
L_middletemporal,-0.12,1571,1651,2582,lh,0.1664019105650013,1.0137502630528303,0.006549530743969443,0.0838985687274721,0.0827605888602368,584,-0.12
L_parahippocampal,-0.11,1571,1651,2582,lh,0.1419923979078971,1.0100306139239714,0.005588779433782021,0.0835907283752143,0.0827605888602368,584,-0.11
L_paracentral,-0.05,1571,1651,2582,lh,0.2087907284844583,1.0215642751687584,0.008217942273749067,0.0845452609715474,0.0827605888602368,584,-0.05
L_parsopercularis,-0.03,1571,1651,2582,lh,0.1700048874171607,1.014347899759112,0.00669134286369153,0.0839480294932085,0.0827605888602368,584,-0.03
L_parsorbitalis,0.04,1571,1651,2582,lh,0.2585720930571187,1.0328889230250944,0.010177322287105516,0.0854824954967726,0.0827605888602368,584,0.04
L_parstriangularis,0.05,1571,1651,2582,lh,0.1947534591914286,1.0187879611906627,0.00766543944199725,0.0843154915918593,0.0827605888602368,584,0.05
L_pericalcarine,-0.01,1571,1651,2582,lh,0.2573619043092968,1.0325866306464109,0.010129689610395537,0.0854574776015048,0.0827605888602368,584,
L_postcentral,-0.07,1571,1651,2582,lh,0.1993295859291462,1.0196726356172774,0.00784555445783581,0.0843887077683555,0.0827605888602368,584,-0.07
L_posteriorcingulate,0.05,1571,1651,2582,lh,0.2107243510940018,1.0219612282978197,0.008294049096594066,0.0845781130462584,0.0827605888602368,584,0.05
L_precentral,0.09,1571,1651,2582,lh,0.1934859788469978,1.0185464270274482,0.007615551784727932,0.0842955020822818,0.0827605888602368,584,0.09
L_precuneus,-0.08,1571,1651,2582,lh,0.1266028694300775,1.0079822848383444,0.00498305207429176,0.0834212074539083,0.0827605888602368,584,-0.08
L_rostralanteriorcingulate,0.01,1571,1651,2582,lh,0.283732439618703,1.0394729901695288,0.011167626201132097,0.0860273967707413,0.0827605888602368,584,
L_rostralmiddlefrontal,0.11,1571,1651,2582,lh,0.1904458556017539,1.017973292339187,0.007495893419072309,0.0842480691179851,0.0827605888602368,584,0.11
L_superiorfrontal,0.11,1571,1651,2582,lh,0.132671725682411,1.0087625026712428,0.005221920489146064,0.0834857787411982,0.0827605888602368,584,0.11
L_superiorparietal,-0.09,1571,1651,2582,lh,0.1101292843519363,1.0060459528629244,0.00433465656268773,0.0832609554793936,0.0827605888602368,584,-0.09
L_superiortemporal,-0.15,1571,1651,2582,lh,0.1260174974969587,1.0079089292567045,0.004960012005463219,0.0834151365027756,0.0827605888602368,584,-0.15
L_supramarginal,-0.09,1571,1651,2582,lh,0.1406715982860254,1.009845779594263,0.005536793145279085,0.0835754313772461,0.0827605888602368,584,-0.09
L_frontalpole,0.04,1571,1651,2582,lh,0.3407844666065796,1.0564724571328543,0.013413177369950608,0.0874342826669363,0.0827605888602368,584,0.04
L_temporalpole,-0.14,1571,1651,2582,lh,0.3656352824157033,1.0647484020871838,0.014391298243695016,0.0881192047447315,0.0827605888602368,584,-0.14
